,DATA_TYPE,N,DATA_LABEL,NGRAM_TFIDF_RF,EXP,WORD_TFIFD_RF,CHAR_NGRAM_TFIDF_RF,WC_RF
3,SPEAKERS,613,1678,0.9285714285714286,TB_INT,0.896551724137931,0.9285714285714286,0.9285714285714286
4,SPEAKERS,613,1678,0.8,TB_INT,0.8,0.8,0.8
5,SPEAKERS,613,1678,0.896551724137931,TB_INT,0.962962962962963,0.962962962962963,0.962962962962963
6,SPEAKERS,613,1678,0.962962962962963,TB_INT,0.962962962962963,0.9285714285714286,0.962962962962963
7,SPEAKERS,613,1678,0.689655172413793,TB_INT,0.6666666666666666,0.689655172413793,0.689655172413793
8,SPEAKERS,613,1678,0.8571428571428571,TB_INT,0.8148148148148148,0.8571428571428571,0.8571428571428571
9,SPEAKERS,613,1678,0.8,TB_INT,0.8461538461538461,0.8461538461538461,0.8461538461538461
10,SPEAKERS,613,1678,0.6956521739130435,TB_INT,0.6363636363636364,0.6363636363636364,0.6956521739130435
11,SPEAKERS,613,1678,0.75,TB_INT,0.75,0.75,0.75
12,SPEAKERS,613,1678,0.8148148148148148,TB_INT,0.8148148148148148,0.8148148148148148,0.8148148148148148
13,SPEAKERS,613,1678,0.8571428571428571,TB_INT,0.888888888888889,0.888888888888889,0.888888888888889
14,SPEAKERS,613,1678,0.9655172413793104,TB_INT,0.9655172413793104,0.9655172413793104,0.9655172413793104
15,SPEAKERS,613,1678,0.8148148148148148,TB_INT,0.8461538461538461,0.8461538461538461,0.8461538461538461
16,SPEAKERS,613,1678,0.9655172413793104,TB_INT,0.9333333333333333,0.9333333333333333,0.9655172413793104
17,SPEAKERS,613,1678,0.8148148148148148,TB_INT,0.8461538461538461,0.8461538461538461,0.8461538461538461
18,SPEAKERS,613,1678,0.9333333333333333,TB_INT,0.9655172413793104,0.9655172413793104,0.9655172413793104
19,SPEAKERS,613,1678,0.888888888888889,TB_INT,0.888888888888889,0.8571428571428571,0.888888888888889
0,SPEAKERS,994,1651,0.8181818181818182,TB_INT,0.8571428571428571,0.8571428571428571,0.8571428571428571
1,SPEAKERS,994,1651,0.8333333333333333,TB_INT,0.8695652173913043,0.888888888888889,0.909090909090909
2,SPEAKERS,994,1651,0.8936170212765957,TB_INT,0.909090909090909,0.909090909090909,0.909090909090909
3,SPEAKERS,994,1651,0.8695652173913043,TB_INT,0.8837209302325583,0.8837209302325583,0.8837209302325583
4,SPEAKERS,994,1651,0.8979591836734695,TB_INT,0.9545454545454545,0.8936170212765957,0.9333333333333332
5,SPEAKERS,994,1651,0.7999999999999999,TB_INT,0.888888888888889,0.8636363636363636,0.8636363636363636
6,SPEAKERS,994,1651,0.7999999999999999,TB_INT,0.8837209302325583,0.888888888888889,0.7999999999999999
7,SPEAKERS,994,1651,0.84,TB_INT,0.9302325581395349,0.909090909090909,0.8837209302325583
8,SPEAKERS,994,1651,0.7307692307692308,TB_INT,0.8260869565217391,0.8444444444444444,0.8444444444444444
9,SPEAKERS,994,1651,0.8372093023255814,TB_INT,0.8571428571428571,0.8571428571428571,0.8571428571428571
10,SPEAKERS,994,1651,0.3333333333333333,TB_INT,0.6111111111111112,0.6111111111111112,0.717948717948718
11,SPEAKERS,994,1651,0.7659574468085107,TB_INT,0.8372093023255814,0.878048780487805,0.8571428571428571
12,SPEAKERS,994,1651,0.723404255319149,TB_INT,0.7804878048780488,0.761904761904762,0.7
13,SPEAKERS,994,1651,0.7777777777777777,TB_INT,0.8749999999999999,0.8571428571428572,0.8571428571428572
14,SPEAKERS,994,1651,0.8444444444444444,TB_INT,0.85,0.7906976744186046,0.85
15,SPEAKERS,994,1651,0.8163265306122449,TB_INT,0.8636363636363636,0.8695652173913043,0.888888888888889
16,SPEAKERS,994,1651,0.6122448979591837,TB_INT,0.6829268292682927,0.6666666666666666,0.6829268292682927
17,SPEAKERS,994,1651,0.7500000000000001,TB_INT,0.8205128205128205,0.85,0.7999999999999999
18,SPEAKERS,994,1651,0.9333333333333332,TB_INT,0.9545454545454546,0.9302325581395349,0.9767441860465117
19,SPEAKERS,994,1651,0.8181818181818182,TB_INT,0.8095238095238095,0.8372093023255814,0.8181818181818182
0,SPEAKERS,424,1686,0.8571428571428572,TB_INT,0.8181818181818182,0.8571428571428572,0.8571428571428572
1,SPEAKERS,424,1686,0.9090909090909091,TB_INT,0.9090909090909091,0.8571428571428572,0.8695652173913043
2,SPEAKERS,424,1686,0.7999999999999999,TB_INT,0.7999999999999999,0.7999999999999999,0.7999999999999999
3,SPEAKERS,424,1686,0.8571428571428572,TB_INT,0.9090909090909091,0.8181818181818182,0.8571428571428572
4,SPEAKERS,424,1686,0.8,TB_INT,0.8,0.8,0.8
5,SPEAKERS,424,1686,0.6,TB_INT,0.6,0.631578947368421,0.631578947368421
6,SPEAKERS,424,1686,0.5263157894736842,TB_INT,0.5,0.47619047619047616,0.47619047619047616
